epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1704.97,0.89337,0.48772,0.97831,0.56005,0.21657,0.22495,0.09147,2.32392,1.69465,1.18102,0.005842,0.005842,0.005842
44,1859.62,0.89259,0.48651,0.9842,0.54127,0.21424,0.22558,0.09233,2.25483,1.88472,1.15057,0.005743,0.005743,0.005743
45,2014.48,0.88469,0.47973,0.97781,0.58933,0.22541,0.24194,0.10141,2.22211,1.72642,1.14176,0.005644,0.005644,0.005644
46,2169.21,0.87848,0.47426,0.97471,0.57199,0.21675,0.23348,0.09668,2.26513,1.79131,1.1594,0.005545,0.005545,0.005545
47,2323.96,0.87496,0.47215,0.97245,0.5551,0.22978,0.24516,0.10141,2.2563,1.71312,1.15491,0.005446,0.005446,0.005446
48,2478.72,0.86888,0.46622,0.97061,0.57953,0.21982,0.24217,0.10389,2.19897,1.86624,1.13057,0.005347,0.005347,0.005347
49,2633.48,0.86821,0.46459,0.96988,0.55724,0.21256,0.23229,0.09724,2.25224,1.88334,1.14946,0.005248,0.005248,0.005248
50,2788.18,0.86222,0.46125,0.96731,0.5613,0.21573,0.23169,0.09812,2.23274,1.77388,1.15394,0.005149,0.005149,0.005149
51,2942.92,0.86462,0.46289,0.97019,0.57121,0.21201,0.23065,0.09616,2.25155,1.84086,1.1565,0.00505,0.00505,0.00505
52,3097.71,0.85061,0.45486,0.96505,0.56952,0.21117,0.22727,0.09331,2.2715,1.85962,1.15978,0.004951,0.004951,0.004951
53,3252.47,0.85156,0.45263,0.96591,0.5815,0.20503,0.22575,0.09143,2.2864,1.93674,1.16575,0.004852,0.004852,0.004852
54,3407.2,0.84342,0.45354,0.95929,0.57401,0.21266,0.23081,0.09529,2.26648,1.836,1.16463,0.004753,0.004753,0.004753
