epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.751,1.53465,1.3563,1.34152,0.00017,0.00168,8e-05,4e-05,nan,nan,nan,0.0700896,0.00332338,0.00332338
2,322.781,1.48553,1.16418,1.35544,0.18521,0.0779,0.04694,0.01957,2.71978,3.11792,1.43691,0.0400764,0.00664354,0.00664354
3,480.146,1.41809,1.08428,1.32091,0.26147,0.09055,0.07319,0.02809,2.8312,4.36571,1.54298,0.01005,0.00995049,0.00995049
4,637.413,1.39338,1.05765,1.30845,0.36835,0.12778,0.11885,0.04786,2.49078,2.2793,1.30795,0.0099406,0.0099406,0.0099406
5,794.606,1.37219,1.01175,1.29117,0.40427,0.13895,0.12692,0.0497,2.57335,2.23711,1.36638,0.0099208,0.0099208,0.0099208
6,951.7,1.33317,0.96503,1.27665,0.15746,0.08162,0.03348,0.01221,2.91619,2.89389,1.55585,0.009901,0.009901,0.009901
7,1108.61,1.31158,0.94045,1.2669,0.33857,0.0899,0.07773,0.02628,2.91168,2.55186,1.55264,0.0098812,0.0098812,0.0098812
8,1265.63,1.31641,0.93854,1.26833,0.34092,0.12676,0.11401,0.04814,2.44902,2.41603,1.26213,0.0098614,0.0098614,0.0098614
9,1422.48,1.29194,0.91653,1.25611,0.43038,0.14025,0.14008,0.05739,2.45453,2.23537,1.30164,0.0098416,0.0098416,0.0098416
10,1579.66,1.28063,0.91137,1.24817,0.41538,0.15412,0.14642,0.07006,2.24407,2.148,1.23042,0.0098218,0.0098218,0.0098218
11,1736.54,1.2806,0.90519,1.25237,0.44331,0.13122,0.13137,0.05322,2.44892,2.39592,1.29844,0.009802,0.009802,0.009802
12,1894.16,1.26976,0.88341,1.24882,0.43686,0.09632,0.10013,0.03939,2.60358,2.49375,1.38254,0.0097822,0.0097822,0.0097822
13,2049.99,1.26928,0.89355,1.25034,0.42381,0.13766,0.13238,0.05491,2.3571,2.23273,1.25369,0.0097624,0.0097624,0.0097624
14,2205.4,1.26648,0.88069,1.24823,0.29881,0.11103,0.0945,0.0415,2.41792,2.47026,1.27905,0.0097426,0.0097426,0.0097426
15,2360.73,1.25544,0.85358,1.23994,0.40302,0.14686,0.137,0.05403,2.49235,2.10575,1.31909,0.0097228,0.0097228,0.0097228
16,2515.97,1.24327,0.85925,1.24003,0.33739,0.10275,0.09439,0.03784,2.59663,2.54028,1.36292,0.009703,0.009703,0.009703
17,2671.28,1.24622,0.85921,1.23911,0.43664,0.13774,0.1361,0.05692,2.46654,2.14929,1.31518,0.0096832,0.0096832,0.0096832
18,2826.31,1.24568,0.85417,1.24141,0.50389,0.09102,0.12253,0.05363,2.40474,2.84737,1.27781,0.0096634,0.0096634,0.0096634
19,2981.93,1.23918,0.84854,1.22825,0.24958,0.07771,0.06337,0.02729,2.60947,2.86138,1.42099,0.0096436,0.0096436,0.0096436
20,3137.11,1.22837,0.83705,1.22919,0.10996,0.0416,0.02017,0.00856,2.88753,3.69477,1.64792,0.0096238,0.0096238,0.0096238
21,3292.34,1.22872,0.83773,1.23002,0.39695,0.14481,0.13783,0.05536,2.47485,2.13472,1.29037,0.009604,0.009604,0.009604
22,3447.68,1.22649,0.84121,1.2313,0.54779,0.11047,0.13078,0.05428,2.42774,2.43916,1.27675,0.0095842,0.0095842,0.0095842
23,3602.9,1.2163,0.82844,1.22467,0.36356,0.12759,0.11408,0.04633,2.42479,2.22387,1.28042,0.0095644,0.0095644,0.0095644
24,3758.18,1.21339,0.8167,1.22045,0.31794,0.10898,0.09038,0.03543,2.5614,2.50975,1.35444,0.0095446,0.0095446,0.0095446
25,3913.83,1.22934,0.82644,1.23372,0.40216,0.10414,0.10085,0.03895,2.65015,2.45485,1.41349,0.0095248,0.0095248,0.0095248
26,4068.69,1.2086,0.80811,1.22147,0.32046,0.06149,0.061,0.02449,2.69719,3.08083,1.46926,0.009505,0.009505,0.009505
27,4223.91,1.20525,0.80691,1.2183,0.35916,0.141,0.12905,0.05611,2.37339,2.12672,1.27115,0.0094852,0.0094852,0.0094852
28,4378.93,1.21073,0.80364,1.21551,0.38906,0.11326,0.11222,0.04424,2.53066,2.44016,1.34677,0.0094654,0.0094654,0.0094654
29,4534.28,1.208,0.80709,1.22168,0.44164,0.15784,0.15033,0.06155,2.38883,1.84118,1.28452,0.0094456,0.0094456,0.0094456
